"c(50:100)";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63";"V64";"V65";"V66";"V67";"V68";"V69";"V70";"V71";"V72";"V73";"V74";"V75";"V76";"V77";"V78";"V79";"V80";"V81";"V82";"V83";"V84";"V85";"V86";"V87";"V88";"V89";"V90";"V91";"V92"
81;"cca";"cawt";"hyd";"msp5_bryo";"biofr";"miniacina_miniacea_.r._for";"cyanob";"biofv";"bi";"miniacina_sp_.j._for";"disporella_novaehollandiae_bryo";"msp3_sp";"sp";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
82;"cca";"cawt";"hyd";"msp5_bryo";"biofr";"miniacina_miniacea_.r._for";"cyanob";"biofv";"bi";"miniacina_sp_.j._for";"disporella_novaehollandiae_bryo";"msp3_sp";"sp";"msp15_sp";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
83;"cca";"cawt";"hyd";"msp5_bryo";"biofr";"miniacina_miniacea_.r._for";"cyanob";"biofv";"bi";"miniacina_sp_.j._for";"disporella_novaehollandiae_bryo";"msp3_sp";"sp";"msp15_sp";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
84;"cca";"cawt";"hyd";"msp5_bryo";"biofr";"miniacina_miniacea_.r._for";"cyanob";"biofv";"bi";"miniacina_sp_.j._for";"disporella_novaehollandiae_bryo";"msp3_sp";"sp";"msp15_sp";"msp12_sp";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
85;"cca";"cawt";"hyd";"msp5_bryo";"biofr";"miniacina_miniacea_.r._for";"cyanob";"biofv";"bi";"miniacina_sp_.j._for";"disporella_novaehollandiae_bryo";"msp3_sp";"sp";"msp15_sp";"msp12_sp";"sowt";"tubulipora_sp_bryo";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
86;"cca";"cawt";"hyd";"msp5_bryo";"biofr";"miniacina_miniacea_.r._for";"cyanob";"biofv";"bi";"miniacina_sp_.j._for";"disporella_novaehollandiae_bryo";"msp3_sp";"sp";"msp15_sp";"msp12_sp";"sowt";"tubulipora_sp_bryo";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
87;"cca";"cawt";"hyd";"msp5_bryo";"biofr";"miniacina_miniacea_.r._for";"cyanob";"biofv";"bi";"miniacina_sp_.j._for";"disporella_novaehollandiae_bryo";"msp3_sp";"sp";"msp15_sp";"msp12_sp";"sowt";"tubulipora_sp_bryo";"msp20_sp";"msp1_ascs";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
88;"cca";"cawt";"hyd";"msp5_bryo";"biofr";"miniacina_miniacea_.r._for";"cyanob";"biofv";"bi";"miniacina_sp_.j._for";"disporella_novaehollandiae_bryo";"msp3_sp";"sp";"msp15_sp";"msp12_sp";"sowt";"tubulipora_sp_bryo";"msp20_sp";"msp1_ascs";"crisia_elongata_bryo";"msp14_bryo";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
89;"cca";"cawt";"hyd";"msp5_bryo";"biofr";"miniacina_miniacea_.r._for";"cyanob";"biofv";"bi";"miniacina_sp_.j._for";"disporella_novaehollandiae_bryo";"msp3_sp";"sp";"msp15_sp";"msp12_sp";"sowt";"tubulipora_sp_bryo";"msp20_sp";"msp1_ascs";"crisia_elongata_bryo";"msp14_bryo";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
90;"cca";"cawt";"hyd";"msp5_bryo";"biofr";"miniacina_miniacea_.r._for";"cyanob";"biofv";"bi";"miniacina_sp_.j._for";"disporella_novaehollandiae_bryo";"msp3_sp";"sp";"msp15_sp";"msp12_sp";"sowt";"tubulipora_sp_bryo";"msp20_sp";"msp1_ascs";"crisia_elongata_bryo";"msp14_bryo";"msp4_ascc";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
91;"cca";"cawt";"hyd";"msp5_bryo";"biofr";"miniacina_miniacea_.r._for";"cyanob";"biofv";"bi";"miniacina_sp_.j._for";"disporella_novaehollandiae_bryo";"msp3_sp";"sp";"msp15_sp";"msp12_sp";"sowt";"tubulipora_sp_bryo";"msp20_sp";"msp1_ascs";"crisia_elongata_bryo";"msp14_bryo";"msp4_ascc";"msp9_sp";"miniacina_sp_.a._for";"rdup";"msp15_ascc";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
92;"cca";"cawt";"hyd";"msp5_bryo";"biofr";"miniacina_miniacea_.r._for";"cyanob";"biofv";"bi";"miniacina_sp_.j._for";"disporella_novaehollandiae_bryo";"msp3_sp";"sp";"msp15_sp";"msp12_sp";"sowt";"tubulipora_sp_bryo";"msp20_sp";"msp1_ascs";"crisia_elongata_bryo";"msp14_bryo";"msp4_ascc";"msp9_sp";"miniacina_sp_.a._for";"rdup";"msp15_ascc";"msp11_ascc";"form";"msp8_ascc";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
93;"cca";"cawt";"hyd";"msp5_bryo";"biofr";"miniacina_miniacea_.r._for";"cyanob";"biofv";"bi";"miniacina_sp_.j._for";"disporella_novaehollandiae_bryo";"msp3_sp";"sp";"msp15_sp";"msp12_sp";"sowt";"tubulipora_sp_bryo";"msp20_sp";"msp1_ascs";"crisia_elongata_bryo";"msp14_bryo";"msp4_ascc";"msp9_sp";"miniacina_sp_.a._for";"rdup";"msp15_ascc";"msp11_ascc";"form";"msp8_ascc";"msp1_ascc";"watersipora_subtorquata_bryo";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
94;"cca";"cawt";"hyd";"msp5_bryo";"biofr";"miniacina_miniacea_.r._for";"cyanob";"biofv";"bi";"miniacina_sp_.j._for";"disporella_novaehollandiae_bryo";"msp3_sp";"sp";"msp15_sp";"msp12_sp";"sowt";"tubulipora_sp_bryo";"msp20_sp";"msp1_ascs";"crisia_elongata_bryo";"msp14_bryo";"msp4_ascc";"msp9_sp";"miniacina_sp_.a._for";"rdup";"msp15_ascc";"msp11_ascc";"form";"msp8_ascc";"msp1_ascc";"watersipora_subtorquata_bryo";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
95;"cca";"cawt";"hyd";"msp5_bryo";"biofr";"miniacina_miniacea_.r._for";"cyanob";"biofv";"bi";"miniacina_sp_.j._for";"disporella_novaehollandiae_bryo";"msp3_sp";"sp";"msp15_sp";"msp12_sp";"sowt";"tubulipora_sp_bryo";"msp20_sp";"msp1_ascs";"crisia_elongata_bryo";"msp14_bryo";"msp4_ascc";"msp9_sp";"miniacina_sp_.a._for";"rdup";"msp15_ascc";"msp11_ascc";"form";"msp8_ascc";"msp1_ascc";"watersipora_subtorquata_bryo";"msp10_sp";"msp4_sp";"msp6_ascc";"X_brup";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
96;"cca";"cawt";"hyd";"msp5_bryo";"biofr";"miniacina_miniacea_.r._for";"cyanob";"biofv";"bi";"miniacina_sp_.j._for";"disporella_novaehollandiae_bryo";"msp3_sp";"sp";"msp15_sp";"msp12_sp";"sowt";"tubulipora_sp_bryo";"msp20_sp";"msp1_ascs";"crisia_elongata_bryo";"msp14_bryo";"msp4_ascc";"msp9_sp";"miniacina_sp_.a._for";"rdup";"msp15_ascc";"msp11_ascc";"form";"msp8_ascc";"msp1_ascc";"watersipora_subtorquata_bryo";"msp10_sp";"msp4_sp";"msp6_ascc";"X_brup";"msp8_sp";"msp1_sp";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
97;"cca";"cawt";"hyd";"msp5_bryo";"biofr";"miniacina_miniacea_.r._for";"cyanob";"biofv";"bi";"miniacina_sp_.j._for";"disporella_novaehollandiae_bryo";"msp3_sp";"sp";"msp15_sp";"msp12_sp";"sowt";"tubulipora_sp_bryo";"msp20_sp";"msp1_ascs";"crisia_elongata_bryo";"msp14_bryo";"msp4_ascc";"msp9_sp";"miniacina_sp_.a._for";"rdup";"msp15_ascc";"msp11_ascc";"form";"msp8_ascc";"msp1_ascc";"watersipora_subtorquata_bryo";"msp10_sp";"msp4_sp";"msp6_ascc";"X_brup";"msp8_sp";"msp1_sp";"schizomavella_sp_bryo";"msp18_sp";"scrupocellaria_sp_bryo";"msp10_ascc";"smittipora_harmeriana_bryo";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
98;"cca";"cawt";"hyd";"msp5_bryo";"biofr";"miniacina_miniacea_.r._for";"cyanob";"biofv";"bi";"miniacina_sp_.j._for";"disporella_novaehollandiae_bryo";"msp3_sp";"sp";"msp15_sp";"msp12_sp";"sowt";"tubulipora_sp_bryo";"msp20_sp";"msp1_ascs";"crisia_elongata_bryo";"msp14_bryo";"msp4_ascc";"msp9_sp";"miniacina_sp_.a._for";"rdup";"msp15_ascc";"msp11_ascc";"form";"msp8_ascc";"msp1_ascc";"watersipora_subtorquata_bryo";"msp10_sp";"msp4_sp";"msp6_ascc";"X_brup";"msp8_sp";"msp1_sp";"schizomavella_sp_bryo";"msp18_sp";"scrupocellaria_sp_bryo";"msp10_ascc";"smittipora_harmeriana_bryo";"msp9_ascc";"msp33_sp";"parasmittina_margaritata_bryo";"msp24_sp";"msp30_sp";"pina";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
99;"cca";"cawt";"hyd";"msp5_bryo";"biofr";"miniacina_miniacea_.r._for";"cyanob";"biofv";"bi";"miniacina_sp_.j._for";"disporella_novaehollandiae_bryo";"msp3_sp";"sp";"msp15_sp";"msp12_sp";"sowt";"tubulipora_sp_bryo";"msp20_sp";"msp1_ascs";"crisia_elongata_bryo";"msp14_bryo";"msp4_ascc";"msp9_sp";"miniacina_sp_.a._for";"rdup";"msp15_ascc";"msp11_ascc";"form";"msp8_ascc";"msp1_ascc";"watersipora_subtorquata_bryo";"msp10_sp";"msp4_sp";"msp6_ascc";"X_brup";"msp8_sp";"msp1_sp";"schizomavella_sp_bryo";"msp18_sp";"scrupocellaria_sp_bryo";"msp10_ascc";"smittipora_harmeriana_bryo";"msp9_ascc";"msp33_sp";"parasmittina_margaritata_bryo";"msp24_sp";"msp30_sp";"pina";"msp14_sp";"msp14_ascc";"msp3_ascs";"msp11_sp";"msp29_sp";"msp5_sp";"msp7_sp";"root_barn";"smittoidea_cautela_bryo";"msp5_ascs";"msp25_sp";"msp27_sp";"msp28_sp";"msp12_bryo";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
100;"cca";"cawt";"hyd";"msp5_bryo";"biofr";"miniacina_miniacea_.r._for";"cyanob";"biofv";"bi";"miniacina_sp_.j._for";"disporella_novaehollandiae_bryo";"msp3_sp";"sp";"msp15_sp";"msp12_sp";"sowt";"tubulipora_sp_bryo";"msp20_sp";"msp1_ascs";"crisia_elongata_bryo";"msp14_bryo";"msp4_ascc";"msp9_sp";"miniacina_sp_.a._for";"rdup";"msp15_ascc";"msp11_ascc";"form";"msp8_ascc";"msp1_ascc";"watersipora_subtorquata_bryo";"msp10_sp";"msp4_sp";"msp6_ascc";"X_brup";"msp8_sp";"msp1_sp";"schizomavella_sp_bryo";"msp18_sp";"scrupocellaria_sp_bryo";"msp10_ascc";"smittipora_harmeriana_bryo";"msp9_ascc";"msp33_sp";"parasmittina_margaritata_bryo";"msp24_sp";"msp30_sp";"pina";"msp14_sp";"msp14_ascc";"msp3_ascs";"msp11_sp";"msp29_sp";"msp5_sp";"msp7_sp";"root_barn";"smittoidea_cautela_bryo";"msp5_ascs";"msp25_sp";"msp27_sp";"msp28_sp";"msp12_bryo";"msp22_sp";"msp16_ascc";"msp2_ascc";"msp19_sp";"msp26_sp";"msp31_sp";"msp34_sp";"msp17_ascc";"msp4_ascs";"msp5_ascc";"msp16_sp";"msp23_sp";"msp2_sp";"msp13_ascc";"msp19_ascc";"msp2_ascs";"gren";"msp21_sp";"msp35_sp";"msp36_sp";"msp11_ascs";"msp12_ascc";"msp21_ascc";"msp22_ascc";"msp3_ascc";"msp6_ascs";"msp7_ascc";"msp8_ascs";"msp9_ascs";"grup"
